Year,Global Annual Population (billions)
1920,1.896695382
1921,1.912087252
1922,1.92825161
1923,1.945105667
1924,1.962228944
1925,1.979624158
1926,1.997272443
1927,2.01517529
1928,2.033359756
1929,2.052225865
1930,2.07181512
1931,2.092140968
1932,2.113176883
1933,2.134883926
1934,2.156859958
1935,2.179111163
1936,2.201736175
1937,2.224706842
1938,2.248106586
1939,2.270656946
1940,2.291963292
1941,2.312084166
1942,2.3311215
1943,2.349001182
1944,2.366905856
1945,2.384659222
1946,2.402289644
1947,2.421280133
1948,2.441885925
1949,2.467909478
1950,2.493094915
1951,2.536929191
1952,2.58408841
1953,2.634108213
1954,2.685896827
1955,2.740215833
1956,2.795411936
1957,2.85262036
1958,2.911251573
1959,2.965952295
1960,3.015472794
1961,3.064871625
1962,3.12337629
1963,3.192809681
1964,3.264489216
1965,3.334535622
1966,3.404042946
1967,3.473414707
1968,3.545189123
1969,3.619493388
1970,3.694685647
1971,3.769849707
1972,3.844919441
1973,3.920806799
1974,3.996417901
1975,4.070737035
1976,4.144248127
1977,4.217865545
1978,4.292099273
1979,4.368541235
1980,4.447607889
1981,4.528779075
1982,4.612675078
1983,4.697329298
1984,4.782177232
1985,4.868945108
1986,4.958074523
1987,5.049748065
1988,5.141994231
1989,5.234433392
1990,5.327804704
1991,5.418737514
1992,5.505991389
1993,5.591546326
1994,5.675552859
1995,5.758880564
1996,5.842057283
1997,5.924789408
1998,6.007068257
1999,6.089007815
2000,6.171704558
2001,6.254937937
2002,6.337732004
2003,6.420363111
2004,6.503379232
2005,6.586971599
2006,6.671453478
2007,6.757310334
2008,6.844459051
2009,6.93276788
2010,7.021733557
2011,7.110925206
2012,7.201203985
2013,7.291794953
2014,7.381617698
2015,7.470493271
2016,7.558555823
2017,7.645619358
2018,7.72990416
2019,7.811295064
2020,7.887002568
2021,7.954449782
2022,8.021408448
2023,8.091736395
