Year,Global average temperature anomaly relative to 1961-1990
1920,-0.29835507
1921,-0.24044435
1922,-0.3390137
1923,-0.31768188
1924,-0.3118017
1925,-0.28214198
1926,-0.122555
1927,-0.2291136
1928,-0.20646581
1929,-0.39244303
1930,-0.17680542
1931,-0.103397675
1932,-0.14546171
1933,-0.32234442
1934,-0.17433685
1935,-0.20605923
1936,-0.16952094
1937,-0.019198947
1938,-0.012200737
1939,-0.040797204
1940,0.07593582
1941,0.0381293
1942,0.0014060677
1943,0.0064215823
1944,0.14410514
1945,0.043088354
1946,-0.11881461
1947,-0.09120561
1948,-0.12466127
1949,-0.14380223
1950,-0.2266218
1951,-0.06115396
1952,0.015354548
1953,0.07763075
1954,-0.11675023
1955,-0.19730994
1956,-0.26316562
1957,-0.035334915
1958,-0.017632563
1959,-0.048004813
1960,-0.11545958
1961,-0.019999769
1962,-0.06404272
1963,-0.036810614
1964,-0.30586153
1965,-0.20442048
1966,-0.1488976
1967,-0.117539294
1968,-0.16864756
1969,-0.03138624
1970,-0.08506408
1971,-0.20588905
1972,-0.09379131
1973,0.04995016
1974,-0.17252657
1975,-0.110754214
1976,-0.2158369
1977,0.1030885
1978,0.0052559716
1979,0.09085814
1980,0.19607204
1981,0.25001204
1982,0.034268282
1983,0.22380984
1984,0.04799352
1985,0.049729742
1986,0.09568698
1987,0.2430264
1988,0.2821517
1989,0.1792503
1990,0.36058238
1991,0.33889654
1992,0.12489683
1993,0.16570719
1994,0.23354979
1995,0.37686613
1996,0.27668938
1997,0.4223085
1998,0.5773417
1999,0.32448497
2000,0.33108476
2001,0.48928034
2002,0.5434665
2003,0.54417014
2004,0.46737072
2005,0.6068625
2006,0.5725527
2007,0.5917013
2008,0.46564984
2009,0.5967816
2010,0.6803714
2011,0.53769773
2012,0.57760704
2013,0.6235753
2014,0.67287165
2015,0.8251144
2016,0.9329271
2017,0.84517425
2018,0.76265407
2019,0.8910726
2020,0.9229205
2021,0.76190555
2022,0.8013053
2023,1.1003127
